WMA 2025-05-20 16:46:37.853075 - Amar's Weighted MA Dynamic Strategy started in LIVE mode.
WMA 2025-05-20 16:46:38.709260 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:20:34.873297 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:20:45.314241 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:20:45.587259 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:20:56.037390 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:20:56.370689 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:21:06.947845 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:21:07.276882 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:21:17.714966 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:21:18.162728 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:21:28.746529 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:21:29.177900 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:21:39.998655 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:21:40.389065 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:21:50.904936 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:21:51.329782 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:22:01.881036 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:22:02.308647 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:22:13.120564 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:22:13.475041 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:22:23.980459 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:22:24.255494 - [SMLISUZU] LTP: 1551.00 | Trend: NONE | Close vs WMA: < | WMA Slope: ↓ | RSI: 47.9 | MACD: 1.11 vs Signal: 0.49
WMA 2025-05-20 21:22:34.882041 - [JUBLPHARMA] LTP: 993.00 | Trend: NONE | Close vs WMA: > | WMA Slope: ↑ | RSI: 51.1 | MACD: -1.87 vs Signal: 0.39
WMA 2025-05-20 21:22:35.265438 - Graceful shutdown invoked.
