MR [2025-05-20 16:13:27] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:26] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:16:27] ❌ Invalid or empty data for MAXHEALTH, skipping.
MR [2025-05-20 16:17:34] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:17:40] ❌ Failed to fetch historical data: timed out
MR [2025-05-20 16:19:22] 📊 Starting Mean Reversion BB + RSI Strategy
MR [2025-05-20 16:19:27] MAXHEALTH | Close: 1142.00, RSI: 59.31, BB Lower: 1138.82, BB Upper: 1143.83
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.75, RSI: 46.17, BB Lower: 1138.42, BB Upper: 1144.66
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.80, RSI: 46.74, BB Lower: 1138.37, BB Upper: 1144.65
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.25, RSI: 33.77, BB Lower: 1138.01, BB Upper: 1144.74
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.55, RSI: 47.92, BB Lower: 1137.90, BB Upper: 1144.64
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1142.90, RSI: 64.09, BB Lower: 1137.87, BB Upper: 1144.81
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1143.35, RSI: 66.42, BB Lower: 1138.07, BB Upper: 1144.45
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1143.00, RSI: 62.73, BB Lower: 1138.16, BB Upper: 1144.27
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.25, RSI: 37.01, BB Lower: 1138.07, BB Upper: 1143.70
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.45, RSI: 38.58, BB Lower: 1137.86, BB Upper: 1143.56
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.70, RSI: 40.73, BB Lower: 1137.95, BB Upper: 1143.53
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1138.60, RSI: 34.52, BB Lower: 1137.70, BB Upper: 1143.63
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.00, RSI: 38.50, BB Lower: 1137.47, BB Upper: 1143.66
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.35, RSI: 50.36, BB Lower: 1137.47, BB Upper: 1143.66
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.55, RSI: 51.96, BB Lower: 1137.45, BB Upper: 1143.63
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.70, RSI: 53.28, BB Lower: 1137.44, BB Upper: 1143.62
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1142.25, RSI: 64.90, BB Lower: 1137.41, BB Upper: 1143.86
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1141.95, RSI: 61.45, BB Lower: 1137.64, BB Upper: 1144.02
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1141.30, RSI: 54.17, BB Lower: 1137.69, BB Upper: 1144.07
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.70, RSI: 48.04, BB Lower: 1137.75, BB Upper: 1143.70
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.65, RSI: 47.52, BB Lower: 1137.97, BB Upper: 1143.09
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.55, RSI: 46.34, BB Lower: 1138.22, BB Upper: 1142.49
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1141.75, RSI: 60.15, BB Lower: 1138.38, BB Upper: 1142.69
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.25, RSI: 43.73, BB Lower: 1138.52, BB Upper: 1142.66
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.65, RSI: 38.79, BB Lower: 1138.51, BB Upper: 1142.67
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.30, RSI: 46.44, BB Lower: 1138.96, BB Upper: 1142.46
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.00, RSI: 43.51, BB Lower: 1139.27, BB Upper: 1142.30
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.15, RSI: 45.52, BB Lower: 1139.23, BB Upper: 1142.30
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.05, RSI: 44.30, BB Lower: 1139.15, BB Upper: 1142.31
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.95, RSI: 42.95, BB Lower: 1139.04, BB Upper: 1142.31
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.25, RSI: 48.43, BB Lower: 1139.16, BB Upper: 1141.91
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.45, RSI: 52.02, BB Lower: 1139.32, BB Upper: 1141.53
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.65, RSI: 39.27, BB Lower: 1139.26, BB Upper: 1141.37
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.20, RSI: 33.83, BB Lower: 1139.02, BB Upper: 1141.39
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.45, RSI: 54.33, BB Lower: 1139.03, BB Upper: 1141.35
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.00, RSI: 48.08, BB Lower: 1139.00, BB Upper: 1141.30
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.00, RSI: 48.08, BB Lower: 1139.34, BB Upper: 1140.71
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.90, RSI: 46.46, BB Lower: 1139.33, BB Upper: 1140.67
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.95, RSI: 47.49, BB Lower: 1139.38, BB Upper: 1140.67
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.30, RSI: 36.76, BB Lower: 1139.22, BB Upper: 1140.68
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.60, RSI: 58.59, BB Lower: 1139.19, BB Upper: 1140.80
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.50, RSI: 56.83, BB Lower: 1139.17, BB Upper: 1140.87
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.75, RSI: 45.00, BB Lower: 1139.14, BB Upper: 1140.86
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.15, RSI: 37.68, BB Lower: 1138.97, BB Upper: 1140.91
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.75, RSI: 47.62, BB Lower: 1138.94, BB Upper: 1140.86
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.65, RSI: 46.19, BB Lower: 1138.93, BB Upper: 1140.76
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.80, RSI: 48.88, BB Lower: 1138.95, BB Upper: 1140.77
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.90, RSI: 50.79, BB Lower: 1139.08, BB Upper: 1140.73
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.35, RSI: 58.88, BB Lower: 1139.09, BB Upper: 1140.71
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.05, RSI: 52.21, BB Lower: 1139.09, BB Upper: 1140.71
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.00, RSI: 51.08, BB Lower: 1139.09, BB Upper: 1140.71
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1140.30, RSI: 57.50, BB Lower: 1139.10, BB Upper: 1140.77
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1139.15, RSI: 36.24, BB Lower: 1138.94, BB Upper: 1140.81
MR [2025-05-20 16:19:29] MAXHEALTH | Close: 1141.50, RSI: 66.11, BB Lower: 1138.82, BB Upper: 1141.25
MR [2025-05-20 16:19:30] SELL signal for MAXHEALTH at 1141.50 | RSI: 66.11
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1142.50, RSI: 72.50, BB Lower: 1138.39, BB Upper: 1141.95
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1142.30, RSI: 69.45, BB Lower: 1138.18, BB Upper: 1142.41
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1142.30, RSI: 69.45, BB Lower: 1138.14, BB Upper: 1142.82
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1142.50, RSI: 71.10, BB Lower: 1138.28, BB Upper: 1143.15
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1143.00, RSI: 75.05, BB Lower: 1138.30, BB Upper: 1143.60
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1145.40, RSI: 85.87, BB Lower: 1137.92, BB Upper: 1144.81
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1145.10, RSI: 80.76, BB Lower: 1137.89, BB Upper: 1145.59
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1142.50, RSI: 50.44, BB Lower: 1138.21, BB Upper: 1145.64
MR [2025-05-20 16:19:30] MAXHEALTH | Close: 1140.55, RSI: 37.96, BB Lower: 1138.25, BB Upper: 1145.63
MR [2025-05-20 16:19:35] EXIT short MAXHEALTH at 1140.55 | PnL: 0.08%
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1139.75, RSI: 33.95, BB Lower: 1138.18, BB Upper: 1145.66
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1140.15, RSI: 37.79, BB Lower: 1138.21, BB Upper: 1145.64
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1140.55, RSI: 41.74, BB Lower: 1138.26, BB Upper: 1145.63
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1142.30, RSI: 56.01, BB Lower: 1138.86, BB Upper: 1145.49
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1143.45, RSI: 62.96, BB Lower: 1138.95, BB Upper: 1145.67
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1146.00, RSI: 73.71, BB Lower: 1138.66, BB Upper: 1146.46
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1145.85, RSI: 72.27, BB Lower: 1138.55, BB Upper: 1147.08
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1147.80, RSI: 78.61, BB Lower: 1138.20, BB Upper: 1148.22
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1146.55, RSI: 67.13, BB Lower: 1138.20, BB Upper: 1148.79
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1146.00, RSI: 62.45, BB Lower: 1138.26, BB Upper: 1149.16
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1146.30, RSI: 64.05, BB Lower: 1138.22, BB Upper: 1149.33
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1143.80, RSI: 45.33, BB Lower: 1138.18, BB Upper: 1149.18
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1144.90, RSI: 52.46, BB Lower: 1138.36, BB Upper: 1149.35
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1148.40, RSI: 67.97, BB Lower: 1138.77, BB Upper: 1150.06
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1147.55, RSI: 62.22, BB Lower: 1139.79, BB Upper: 1150.15
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1147.55, RSI: 62.22, BB Lower: 1140.97, BB Upper: 1150.03
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1148.75, RSI: 67.50, BB Lower: 1142.25, BB Upper: 1149.93
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1147.40, RSI: 57.03, BB Lower: 1143.24, BB Upper: 1149.66
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1148.55, RSI: 62.77, BB Lower: 1143.93, BB Upper: 1149.70
MR [2025-05-20 16:19:35] MAXHEALTH | Close: 1153.60, RSI: 77.90, BB Lower: 1142.77, BB Upper: 1151.94
MR [2025-05-20 16:19:36] SELL signal for MAXHEALTH at 1153.60 | RSI: 77.90
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1155.15, RSI: 80.70, BB Lower: 1141.93, BB Upper: 1154.11
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1158.00, RSI: 84.83, BB Lower: 1140.66, BB Upper: 1156.84
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1155.00, RSI: 67.17, BB Lower: 1140.73, BB Upper: 1157.98
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1156.85, RSI: 71.45, BB Lower: 1140.87, BB Upper: 1159.38
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1156.95, RSI: 71.68, BB Lower: 1141.25, BB Upper: 1160.53
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1156.70, RSI: 70.02, BB Lower: 1142.63, BB Upper: 1160.99
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1156.45, RSI: 68.17, BB Lower: 1144.08, BB Upper: 1161.19
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1155.45, RSI: 60.70, BB Lower: 1144.83, BB Upper: 1161.45
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1154.60, RSI: 54.75, BB Lower: 1145.96, BB Upper: 1161.32
MR [2025-05-20 16:19:36] MAXHEALTH | Close: 1151.90, RSI: 40.16, BB Lower: 1147.02, BB Upper: 1160.89
MR [2025-05-20 16:19:37] EXIT short MAXHEALTH at 1151.90 | PnL: 0.15%
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1153.95, RSI: 51.59, BB Lower: 1148.07, BB Upper: 1160.58
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1153.05, RSI: 46.99, BB Lower: 1149.81, BB Upper: 1159.65
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1153.00, RSI: 46.72, BB Lower: 1151.45, BB Upper: 1158.64
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1153.00, RSI: 46.72, BB Lower: 1151.32, BB Upper: 1158.69
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1153.35, RSI: 49.49, BB Lower: 1151.09, BB Upper: 1158.66
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1154.20, RSI: 55.96, BB Lower: 1151.26, BB Upper: 1157.94
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1154.90, RSI: 60.79, BB Lower: 1151.26, BB Upper: 1157.93
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1154.85, RSI: 60.24, BB Lower: 1151.37, BB Upper: 1157.54
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1154.80, RSI: 59.61, BB Lower: 1151.56, BB Upper: 1157.04
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1154.10, RSI: 50.92, BB Lower: 1151.75, BB Upper: 1156.48
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1156.40, RSI: 68.51, BB Lower: 1151.76, BB Upper: 1156.46
MR [2025-05-20 16:19:37] MAXHEALTH | Close: 1157.00, RSI: 71.61, BB Lower: 1151.48, BB Upper: 1156.96
MR [2025-05-20 16:19:38] SELL signal for MAXHEALTH at 1157.00 | RSI: 71.61
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1157.15, RSI: 72.40, BB Lower: 1151.25, BB Upper: 1157.56
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1156.75, RSI: 66.62, BB Lower: 1151.72, BB Upper: 1157.78
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1156.65, RSI: 65.10, BB Lower: 1151.79, BB Upper: 1158.10
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1159.20, RSI: 79.19, BB Lower: 1151.69, BB Upper: 1159.07
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1158.70, RSI: 72.50, BB Lower: 1151.98, BB Upper: 1159.60
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1158.30, RSI: 67.20, BB Lower: 1152.50, BB Upper: 1159.84
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1159.50, RSI: 73.88, BB Lower: 1152.92, BB Upper: 1160.29
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1160.25, RSI: 77.26, BB Lower: 1153.15, BB Upper: 1160.92
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1160.35, RSI: 77.71, BB Lower: 1153.38, BB Upper: 1161.48
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1162.95, RSI: 86.05, BB Lower: 1153.28, BB Upper: 1162.73
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1159.75, RSI: 55.97, BB Lower: 1153.94, BB Upper: 1162.78
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1159.10, RSI: 51.68, BB Lower: 1155.03, BB Upper: 1162.40
MR [2025-05-20 16:19:38] MAXHEALTH | Close: 1157.90, RSI: 44.37, BB Lower: 1155.35, BB Upper: 1162.30
MR [2025-05-20 16:19:39] EXIT short MAXHEALTH at 1157.90 | PnL: -0.08%
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1158.00, RSI: 45.13, BB Lower: 1155.55, BB Upper: 1162.25
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1159.95, RSI: 58.07, BB Lower: 1155.86, BB Upper: 1162.33
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1160.60, RSI: 61.59, BB Lower: 1156.35, BB Upper: 1162.39
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1160.45, RSI: 60.23, BB Lower: 1157.02, BB Upper: 1162.27
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1160.45, RSI: 60.23, BB Lower: 1157.09, BB Upper: 1162.38
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1158.85, RSI: 45.59, BB Lower: 1157.11, BB Upper: 1162.37
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1158.00, RSI: 39.62, BB Lower: 1157.04, BB Upper: 1162.41
MR [2025-05-20 16:19:39] MAXHEALTH | Close: 1155.00, RSI: 25.74, BB Lower: 1155.71, BB Upper: 1163.09
MR [2025-05-20 16:19:40] BUY signal for MAXHEALTH at 1155.00 | RSI: 25.74
MR [2025-05-20 16:19:40] MAXHEALTH | Close: 1159.30, RSI: 53.17, BB Lower: 1155.68, BB Upper: 1162.99
MR [2025-05-20 16:19:40] MAXHEALTH | Close: 1157.95, RSI: 46.83, BB Lower: 1155.49, BB Upper: 1162.84
MR [2025-05-20 16:19:40] MAXHEALTH | Close: 1157.00, RSI: 42.66, BB Lower: 1155.61, BB Upper: 1161.86
MR [2025-05-20 16:19:40] MAXHEALTH | Close: 1158.30, RSI: 49.80, BB Lower: 1155.56, BB Upper: 1161.71
MR [2025-05-20 16:19:40] MAXHEALTH | Close: 1158.80, RSI: 52.46, BB Lower: 1155.55, BB Upper: 1161.67
MR [2025-05-20 16:19:41] EXIT long MAXHEALTH at 1158.80 | PnL: 0.33%
MR [2025-05-20 16:19:41] MAXHEALTH | Close: 1160.00, RSI: 58.60, BB Lower: 1155.64, BB Upper: 1161.88
MR [2025-05-20 16:19:41] MAXHEALTH | Close: 1159.70, RSI: 56.47, BB Lower: 1155.76, BB Upper: 1162.01
MR [2025-05-20 16:19:41] MAXHEALTH | Close: 1163.25, RSI: 71.00, BB Lower: 1155.24, BB Upper: 1163.00
MR [2025-05-20 16:19:43] SELL signal for MAXHEALTH at 1163.25 | RSI: 71.00
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1162.40, RSI: 64.94, BB Lower: 1155.05, BB Upper: 1163.44
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1165.35, RSI: 73.94, BB Lower: 1154.30, BB Upper: 1164.90
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1168.65, RSI: 80.48, BB Lower: 1153.00, BB Upper: 1167.37
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1168.05, RSI: 76.41, BB Lower: 1152.58, BB Upper: 1169.10
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1168.75, RSI: 77.93, BB Lower: 1152.52, BB Upper: 1170.69
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1172.80, RSI: 84.61, BB Lower: 1152.85, BB Upper: 1172.91
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1173.25, RSI: 85.20, BB Lower: 1152.67, BB Upper: 1175.08
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1172.45, RSI: 79.01, BB Lower: 1153.39, BB Upper: 1176.43
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1174.30, RSI: 82.45, BB Lower: 1154.57, BB Upper: 1177.72
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1175.70, RSI: 84.67, BB Lower: 1155.71, BB Upper: 1179.07
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1177.50, RSI: 87.11, BB Lower: 1157.00, BB Upper: 1180.45
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1176.80, RSI: 81.24, BB Lower: 1158.61, BB Upper: 1181.24
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1178.50, RSI: 84.25, BB Lower: 1160.75, BB Upper: 1181.79
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1179.70, RSI: 86.08, BB Lower: 1162.11, BB Upper: 1182.78
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1179.35, RSI: 82.80, BB Lower: 1164.48, BB Upper: 1182.83
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1179.60, RSI: 83.33, BB Lower: 1166.34, BB Upper: 1183.00
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1178.75, RSI: 74.24, BB Lower: 1167.58, BB Upper: 1183.21
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1180.00, RSI: 78.30, BB Lower: 1169.33, BB Upper: 1183.17
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1180.00, RSI: 78.30, BB Lower: 1171.38, BB Upper: 1182.72
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1181.50, RSI: 82.74, BB Lower: 1172.10, BB Upper: 1183.24
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1181.65, RSI: 83.15, BB Lower: 1172.95, BB Upper: 1183.59
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1183.80, RSI: 87.87, BB Lower: 1174.13, BB Upper: 1184.03
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1185.25, RSI: 90.07, BB Lower: 1174.71, BB Upper: 1185.01
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1185.55, RSI: 90.48, BB Lower: 1175.18, BB Upper: 1185.95
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1187.60, RSI: 92.86, BB Lower: 1175.04, BB Upper: 1187.54
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1181.85, RSI: 51.07, BB Lower: 1175.96, BB Upper: 1187.34
MR [2025-05-20 16:19:43] MAXHEALTH | Close: 1179.65, RSI: 42.53, BB Lower: 1176.20, BB Upper: 1187.26
MR [2025-05-20 16:19:44] EXIT short MAXHEALTH at 1179.65 | PnL: -1.41%
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.00, RSI: 44.26, BB Lower: 1176.26, BB Upper: 1187.25
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.50, RSI: 46.92, BB Lower: 1176.46, BB Upper: 1187.21
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1178.75, RSI: 39.26, BB Lower: 1176.27, BB Upper: 1187.28
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.70, RSI: 44.95, BB Lower: 1176.48, BB Upper: 1187.20
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.00, RSI: 46.79, BB Lower: 1176.48, BB Upper: 1187.20
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1181.50, RSI: 55.46, BB Lower: 1176.69, BB Upper: 1187.21
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.90, RSI: 51.54, BB Lower: 1176.62, BB Upper: 1187.19
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1178.50, RSI: 38.76, BB Lower: 1176.09, BB Upper: 1187.28
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1178.10, RSI: 36.98, BB Lower: 1175.52, BB Upper: 1187.03
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1177.35, RSI: 33.59, BB Lower: 1175.08, BB Upper: 1186.34
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1174.50, RSI: 23.90, BB Lower: 1174.12, BB Upper: 1185.72
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1174.50, RSI: 23.90, BB Lower: 1174.43, BB Upper: 1183.54
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1177.00, RSI: 43.40, BB Lower: 1174.29, BB Upper: 1182.99
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1176.00, RSI: 38.76, BB Lower: 1173.85, BB Upper: 1182.90
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.00, RSI: 55.42, BB Lower: 1173.86, BB Upper: 1182.75
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.85, RSI: 59.10, BB Lower: 1173.90, BB Upper: 1182.62
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.00, RSI: 59.78, BB Lower: 1173.90, BB Upper: 1182.80
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1180.85, RSI: 63.78, BB Lower: 1173.83, BB Upper: 1183.03
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1181.70, RSI: 67.55, BB Lower: 1173.69, BB Upper: 1183.41
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.40, RSI: 50.86, BB Lower: 1173.81, BB Upper: 1182.99
MR [2025-05-20 16:19:44] MAXHEALTH | Close: 1179.80, RSI: 53.20, BB Lower: 1173.88, BB Upper: 1182.77
